W=2 B=31 | M=297.041595, a=-1.2, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.166992, a=-1.2, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.100067, a=-1.2, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.1297, a=-1.2, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.973022, a=-1.2, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.123474, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.146057, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.27124, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.477356, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.11734, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.401123, a=-1.3, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.590637, a=-1.3, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.439301, a=-1.3, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.17395, a=-1.3, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.128876, a=-1.3, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.477173, a=-1.3, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.435242, a=-1.3, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.931641, a=-1.3, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.539581, a=-1.3, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.634003, a=-1.3, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.320068, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.123169, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=296.890594, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=296.69812, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.312775, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.064697, a=-1.4, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.923706, a=-1.4, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.10199, a=-1.4, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.325958, a=-1.4, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.773956, a=-1.4, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.14917, a=-1.4, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.874756, a=-1.4, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.188171, a=-1.4, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.898834, a=-1.4, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.023224, a=-1.4, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.00351, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.749329, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.418335, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=296.742035, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.30426, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=296.827484, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.330048, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.371002, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.927216, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.009308, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.916473, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.579041, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.223389, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.233124, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.975464, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.202667, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.144745, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.229462, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.237122, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.204956, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.240509, a=0.6, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.218903, a=0.6, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.136841, a=0.6, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.13324, a=0.6, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.944122, a=0.6, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.483856, a=0.6, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.247894, a=0.6, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.820312, a=0.6, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.125275, a=0.6, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.664917, a=0.6, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.197266, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.650299, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=296.868042, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.795074, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.300964, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=296.2276, a=0.7, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.305786, a=0.7, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.716553, a=0.7, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.14328, a=0.7, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.015503, a=0.7, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.750244, a=0.7, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.13501, a=0.7, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.115509, a=0.7, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.143036, a=0.7, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.278992, a=0.7, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.165741, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.010834, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=296.959137, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=296.969818, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=296.957336, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.498322, a=0.8, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.928375, a=0.8, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.391449, a=0.8, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.034149, a=0.8, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.132385, a=0.8, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.308319, a=0.8, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.785309, a=0.8, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.14386, a=0.8, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.970428, a=0.8, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.36908, a=0.8, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.377289, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.029053, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=296.780853, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=296.870758, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.210907, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.138611, a=0.9, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.90387, a=0.9, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.14447, a=0.9, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.116516, a=0.9, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.019409, a=0.9, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.003265, a=0.9, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.079559, a=0.9, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.157806, a=0.9, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.767426, a=0.9, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.018829, a=0.9, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.888245, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.282532, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.053223, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=296.890533, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.275604, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=296.841614, a=1.0, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.187866, a=1.0, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.155975, a=1.0, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.333191, a=1.0, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.057739, a=1.0, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.162567, a=1.0, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.228882, a=1.0, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.974274, a=1.0, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.924377, a=1.0, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.839844, a=1.0, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.038849, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.097931, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.539246, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.359772, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.021545, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.436859, a=1.1, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.90683, a=1.1, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.055969, a=1.1, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.982178, a=1.1, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.201141, a=1.1, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.114685, a=1.1, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.40152, a=1.1, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.168976, a=1.1, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.836395, a=1.1, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.766113, a=1.1, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.958832, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.274689, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=296.470123, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.306091, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=296.943939, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=296.788177, a=1.2, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.070251, a=1.2, pw=1e-07, tag=SS_i 
